Word,Type,Definition1,Definition2,Example,Synonym
lansang,noun,nails,nail,kanihanglan ko ang martilyo ug mga lansang,
suko,verb,angry,,Akong iring kay suko siya,
bisikleta,noun,bike,bicycle,pas-pas ang bisikleta,
dula,,play,game,,
ganiha,expression,earlier,before,nag adto mi sa mall ganiha ,
dalan,noun,road,,hugaw ang dalan,
pantalon,noun,pants,,,
mangga,food,mango,,,
ilong,body,nose,,,
damgo,verb,to dream,dream,unsa nidamgo ka kagabii?,
pasensya,verb,sorry,,pasensya na ko para kana,pasayloa
balibad,verb,refuse,decline,dili mobalibad ko kini,
likod,body,back,,,
amping,noun,safeguard,care,amping ka permi!,
bagyo,noun,typhoon,,,
gitas-on,noun,height,,unsa sa imong gitas-on?,
domingo,weekday,Sunday,,,
uhaw,,thirst,,Guihaw ko kaayo,
tsinelas,noun,slippers,,,
uban,expression,with,,dinhi ko uban akong pamilia ug mga umagad,
lingaw,,funny,,,
imong,pronoun,your,-,ganahan ko imong buhok!,inyo
puyo,,live,abide,,
daan,adjective,old,,daan ang botleyo,
diay,expression,exclamation,really?,,
kalye,,street,,,
pangalan,noun,name,,unsa imong pangalan,
diri,noun,return,here,dai ali diri,"dinhi,balika"
pedicab,expression,tricycle,taxi,,
atiman,verb,take care,,atiman ko sa akong asawa,
bugat,adjective,heavy,,kini kuan kay bugat kaayo,
kugihan,,hardworking,diligent,,
utot,expression,fart,flatulence,,
gugma,verb,love,to love,gugma ko nimo,gihigugma
kasagaran,,often,usually,,
duda,adjective,doubt,suspicous,nag duda sila,
martilyo,noun,hammer,,,
hulagway,,picture,,,
di ba?,expression,right?,,,
lamok,animal,mosquito,,dili ko ganahan ang mga lamok,
pamilia,,family,,,
pito,number,seven,,,
bitaw,expression,yes,of course,,"gani,oo"
hayop,,animal,beast,,
gatason,color,cream,,,
suroy-suroy,verb,walk around,explore,Nag suroy-suroy uban akong pamiliya ,laag-laag
pagpaubos,adjective,humility,humble,,
libog,,confuse,,,
kinabuhi,,life,existence,,
ulo,body,head,,,
septyembre,month,september,,,
gawas,,outside,exterior,,
sabong,expression,cock fight,,gusto go mag adto sa sabong usa adlaw,
pahibaw,verb,notice,inform,pahibaw-on ko nimo kanus-a mag kabalo ko,
una,expression,first,,,
tagaan,verb,give,provide,pwede ka tagaan nako ang pagkaon palihug,
oo,,yes,,,"gani,bitaw"
kilay,body,eyebrow,,,
tubol,noun,poop,,kinahanglan tubol karon ko,
lahi,,different,breed,,
tanan,,all,everyone,ganahan ko tanan kalawhan,
delata,noun,canned goods,,,
panagtapok,noun,gathering,meeting,Naa ko panagtapok unya a las gabii,
limot,verb,forget,,nakalimot ko kana,
dayon,adverb,immediately,,adto ta og mall dayon,puhon
dili gayud,,never,,,
sabado,weekday,Saturday,-,-,-
sulat,verb,write,,"kinahanglan sulat ko kini, ayaw gusto nakalimot ko",
buhat,verb,do,,,gamit
panahon,,weather,outside,,
importante,expression,important,,,
makituon,,studious,,,
usahay,,sometimes,,,panagsa
abohon,color,gray,,,
aslom,,sour,,,
labot,,care,concern,,
prito,adjective,fried,,,
dula,,play,game,,
lunes,weekday,Monday,,,
nwong,body,face,,,
siya,pronoun,he/her,they,kinsa siya?,-
pamilyar,,familiar,,,
hinam,verb,excite,,"nag hinam ko para magadto ta sa PH uban akong pamilia ug mag tanaw akong barakada taga Jagna, Bohol",
lamesa,noun,table,,,
ka,pronoun,you,-,-,ikaw
ganahan,verb,like,,ganahan kaayo ko sa adobo,
kanus-a,5Ws,when,,,
ali,verb,come,,dai ali diri,umari
hapon,,afternoon,,maayong hapon,
kulira,expression,curse word,,,
magikero,noun,magic,magician,mag kaon ko ang pagkaon pas-pas kaayo sama sa magikero ko,
panit,body,skin,,,
walay,noun,none,left,Walay problema,wala
hapit,expression,almost,,hapit na!,
taga,verb,from,,taga asa ka?,gikan
leksyon,,lesson,,,
pungko,verb,squat,,"ok lang, mupungko ko diri",
manyakis,expression,bitch,pervert,manyakis ka!,
siko,body,elbow,,,
octubre,month,october,,,
abril,month,april,,,
kita,,we/us,see,magkita ta puhon,kami
kanta,verb,sing,,,
asa,5Ws,where,-,Asa na ka karon?,"diin,hain"
bulan,expression,month,moon,,
libro,noun,book,,,
naa,verb,have,(is) there,naa ba ka pagkaon?,-
baki,animal,frog,,,
panagsa,,sometimes,,,usahay
tapulan,adjective,lazy,,mag gusto tapulan ko karon adlaw,
regalo,noun,gift,present,,
buntag,expression,morning,-,maayong buntag,kadlawon
itom,color,black,,,negro
ganina,,earlier,,,
bugo,,dumb,,,
pahulay,verb,rest,,gusto pahulay ko para dugay pa,
maayo,,good,,maayong adlaw!,buotan
bago,,new,,,
umari,verb,come,,,ali
kuyog,,together,swarm,mag adto ko kuyog nimo,kauban
kulba,verb,nervous,scared,,hadlok
bastos,expression,rude,disrespect,sila nag bastos nako ganiha adlaw,
tiil,body,feet,,,
gupit,verb,cut,,,
botelyo,noun,bottle,,asa ang akong botelyo?,
yawyaw,verb,nag,yell,akong asawa kay yawyaw sa ako permi,
